year,date,rank,song,artist,binary,language,total_words,non_e_words,percent,individual songs,position,streams,spotify date,spins,radio_rank
2021,2021-03-27,43,Telepatia,Kali Uchis,0,english,277,156,56.32,,,,,,
2021,2021-03-27,44,Better Together,Luke Combs,0,english,334,0,0.00,,,,,,
2021,2021-03-27,45,Whoopty,CJ,0,english,395,11,2.78,,,,,,
2021,2021-03-27,46,My Head And My Heart,Ava Max,0,english,302,0,0.00,,,,,,
2021,2021-03-27,47,Beautiful Mistakes,Maroon 5,0,english,536,0,0.00,,,,,,
2021,2021-03-27,48,Damage,her,0,english,291,0,0.00,,,,,,
2021,2021-03-27,49,Long Live,Florida Georgia Line,0,english,269,0,0.00,,,,,,
2021,2021-03-27,50,Throat Baby,BRS Kash,0,english,803,4,0.50,,,,,,
2021,2021-03-27,51,Time Today,Moneybagg Yo,0,english,570,0,0.00,,,,,,
2021,2021-03-27,52,We're Good,Dua Lipa,0,english,294,0,0.00,,,,,,
2021,2021-03-27,53,Down To One,Luke Bryan,0,english,379,0,0.00,,,,,,
2021,2021-03-27,54,Lady,Brett Young,0,english,268,0,0.00,,,,,,
2021,2021-03-27,55,Track Star,Mooski,0,english,494,0,0.00,,,,,,
2021,2021-03-27,56,Heat Waves,Glass Animals,0,english,417,0,0.00,,,,,,
2021,2021-03-27,57,Goosebumps,Travis Scott,0,english,539,0,0.00,,,,,,
2021,2021-03-27,58,Real As It Gets,Lil Baby,0,english,845,6,0.71,,,,,,
2021,2021-03-27,59,Hold On,Justin Bieber,0,english,323,0,0.00,,,,,,
2021,2021-03-27,60,Monsters,All Time Low,0,english,458,0,0.00,,,,,,
2021,2021-03-27,61,Forever After All,Luke Combs,0,english,304,0,0.00,,,,,,
2021,2021-03-27,62,Buss It,Erica Banks,0,english,478,3,0.63,,,,,,
2021,2021-03-27,63,Hell Of A View,Eric Church,0,english,229,0,0.00,,,,,,
2021,2021-03-27,64,Body,Megan Thee Stallion,0,english,480,0,0.00,,,,,,
2021,2021-03-27,65,Mommas House,Dustin Lynch,0,english,374,0,0.00,,,,,,
2021,2021-03-27,66,Wasted On You,Morgan Wallen,0,english,278,0,0.00,,,,,,
2021,2021-03-27,67,Somebody Like That,Tenille Arts,0,english,295,0,0.00,,,,,,
2021,2021-03-27,68,La Noche de Anoche,Bad Bunny,1,spanish,499,499,100.00,,,,,,
2021,2021-03-27,69,The Business,Tiesto,0,english,292,0,0.00,1,,,,,
2021,2021-03-27,70,On The Ground,ROSE,0,english,357,0,0.00,1,,,,,
2021,2021-03-27,71,Masterpiece,DaBaby,0,english,881,0,0.00,,,,,,
2021,2021-03-27,72,Girl Like Me,Black Eyed Peas,0,english,474,142,29.96,,,,,,
2021,2021-03-27,73,Almost Maybes,Jordan Davis,0,english,375,0,0.00,,,,,,
2021,2021-03-27,74,Quicksand,Morray,0,english,848,8,0.94,,,,,,
2021,2021-03-27,75,Pick Up Your Feelings,Jazmine Sullivan,0,english,510,0,0.00,1,,,,,
2021,2021-03-27,76,Breaking Up Was Easy In The 90s,Sam Hunt,0,english,405,0,0.00,,,,,,
2021,2021-03-27,77,Made For You,Jake Owen,0,english,242,0,0.00,,,,,,
