"year","date","rank","song","artist","binary","language","total_words","non_e_words","percent","unique","position","streams","spins","radio_rank"
2020,2020-01-18,57,"into the unknown","idina menzel",0,"english",303,0,0,0,79,2474739,214,501
2020,2020-01-18,58,"no idea","don toliver",0,"english",412,0,0,0,17,4922350,214,501
2020,2020-01-18,59,"heart on ice","rod wave",0,"english",262,0,0,0,114,2127729,254,390
2020,2020-01-18,60,"u played","moneybagg yo",0,"english",684,0,0,0,201,1536995,214,501
2020,2020-01-18,61,"south of the border","ed sheeran",0,"english",603,35,5.8,0,126,2014407,1733,56
2020,2020-01-18,62,"toes","dababy",0,"english",625,0,0,0,38,3492249,214,501
2020,2020-01-18,63,"homesick","kane brown",0,"english",274,0,0,0,201,1536995,1877,52
2020,2020-01-18,64,"remember you young","thomas rhett",0,"english",233,0,0,0,201,1536995,2231,42
2020,2020-01-18,65,"i hope","gabby barrett",0,"english",471,0,0,0,201,1536995,872,113
2020,2020-01-18,66,"take what you want","post malone",0,"english",471,0,0,0,70,2577807,297,334
2020,2020-01-18,67,"slide","her",0,"english",560,6,1.07,0,159,1727758,1448,66
2020,2020-01-18,68,"ritmo bad boys for life","black eyed peas",0,"english",600,281,46.83,0,94,2274853,214,501
2020,2020-01-18,69,"best on earth","russ",0,"english",485,0,0,0,142,1830709,1431,68
2020,2020-01-18,70,"sugar","brockhampton",0,"english",550,0,0,0,29,4290774,214,501
2020,2020-01-18,71,"gang gang","jackboys",0,"english",770,3,0.39,0,90,2342997,214,501
2020,2020-01-18,72,"camelot","nle choppa",0,"english",663,2,0.3,0,59,2803556,323,317
2020,2020-01-18,73,"leave em alone","layton greene",0,"english",526,0,0,0,201,1536995,214,501
2020,2020-01-18,74,"we back","jason aldean",0,"english",388,0,0,0,201,1536995,1892,51
2020,2020-01-18,75,"what she wants tonight","luke bryan",0,"english",377,0,0,0,201,1536995,1657,61
2020,2020-01-18,76,"had enough","don toliver",0,"english",400,2,0.5,0,54,3012901,214,501
2020,2020-01-18,77,"nice to meet ya","niall horan",0,"english",278,4,1.44,0,173,1662491,1644,62
2020,2020-01-18,78,"make me want to","jimmie allen",0,"english",322,0,0,0,201,1536995,2002,46
2020,2020-01-18,79,"tip toe","roddy ricch",0,"english",600,7,1.17,1,62,2765353,214,501
2020,2020-01-18,80,"easy","danileigh",0,"english",360,0,0,0,201,1536995,1822,54
2020,2020-01-18,81,"watermelon sugar","harry styles",0,"english",233,0,0,0,20,4793358,214,501
2020,2020-01-18,82,"more hearts than mine","ingrid andress",0,"english",305,0,0,0,201,1536995,1315,76
2020,2020-01-18,83,"i wish grandpas never died","riley green",0,"english",336,0,0,0,201,1536995,1111,88
2020,2020-01-18,84,"homecoming queen","kelsea ballerini",0,"english",245,0,0,0,201,1536995,1108,89
2020,2020-01-18,85,"223s","ynw melly",0,"english",561,0,0,0,40,3424197,214,501
2020,2020-01-18,86,"peta","roddy ricch",0,"english",808,0,0,1,61,2797486,214,501
